region_id,Median_age_of_persons,Median_mortgage_repayment_monthly,Median_total_personal_income_weekly,Median_rent_weekly,Median_total_family_income_weekly,Average_number_of_Persons_per_bedroom,Median_total_household_income_weekly,Average_household_size,Owned_outright_Total,Owned_with_a_mortgage_Total,Total_Persons_Persons
3105614,34,1950,854,300,2125,1.1,1548,2.4,46,90,541
3105615,33,3100,935,360,2774,1.1,2150,3.1,40,63,404
3105616,31,2500,1012,360,2569,1.1,2049,2.5,33,73,385
3105617,34,2058,458,189,1147,1.1,714,2.2,25,30,408
3105618,42,2236,494,218,1062,1.1,1021,2.8,23,35,429
3105619,32,2192,816,425,1961,1.1,1838,3,25,43,315
3105620,35,1040,788,355,1692,1.1,1387,2.7,37,51,328
3105621,32,2500,483,152,1171,1.1,1140,2.6,26,40,438
3105701,35,1757,724,400,2029,1.1,1676,2.8,36,45,359
3105702,32,2925,755,290,1833,1.1,1781,2.5,34,38,269
3105703,33,2134,691,295,1550,1.1,971,2,22,28,250
3105704,33,2167,742,300,1732,1.1,1233,2,33,48,449
3105705,35,1933,785,315,2017,1.1,1289,1.8,52,58,617
3105706,34,2165,846,375,1833,1.1,1643,2.5,63,77,493
3105707,40,2600,650,310,1594,1.1,1292,2.3,34,36,280
3105708,34,1733,625,340,1799,1.1,1604,2.8,27,32,234
3105709,35,2600,707,365,1975,1.1,1640,2.8,55,61,456
3105710,36,1950,783,410,2353,1.1,2044,2.8,40,57,358
3105711,36,2780,807,348,2049,1,1860,2.7,42,30,267
3105712,35,2159,739,395,2200,1.1,1902,2.7,50,70,429
3105713,36,2230,803,420,2187,1,2058,2.8,40,58,348
3105714,33,2400,830,380,2015,1,1968,2.7,59,76,576
3105715,48,2497,1006,225,2321,1.1,2194,2.8,39,27,226
3105716,32,2245,834,350,1922,1.1,1828,2.4,37,47,357
3105801,35,0,428,315,914,1.3,1036,2.6,22,4,188
3105803,39,0,1200,0,0,1,0,7,0,0,15
3105804,36,2383,384,135,866,1.2,633,1.8,4,9,337
3105805,33,1500,681,360,1687,1.1,1302,2.4,29,37,369
3105806,29,1408,769,350,1796,1.1,1769,2.7,27,63,499
3105807,32,2058,764,350,2027,1.1,1588,2.3,36,44,468
3105808,32,3300,543,300,1625,1.2,1262,2.3,27,35,434
3105809,30,3600,652,380,1772,1.1,1492,2.7,43,40,407
3105810,31,2383,628,355,1884,1.1,1625,2.7,38,34,493
3105811,30,1083,428,300,1428,1.1,1375,2.6,20,28,244
3105812,31,2600,776,395,2166,1.2,1773,2.3,20,37,412
3105813,28,2400,533,310,1762,1.2,1057,2,23,73,863
3105901,38,2508,879,410,2062,1,1767,2.7,30,41,287
3105902,35,2167,652,260,1922,1,1416,2.3,24,38,301
3105904,29,1625,795,340,2274,1.1,1343,2.1,7,31,310
3105905,30,1874,656,290,1170,1.2,1125,2.1,17,46,541
3105906,31,2050,720,390,2392,1,2356,3.2,35,61,392
3105907,38,1625,779,300,2250,1.1,1777,2.6,23,27,231
3105908,34,2245,621,109,1986,1.1,871,1.9,24,36,396
