sa1,ssc
1140428,10190
1140422,10190
1102529,10191
1102526,10191
1128013,10192
1101602,10193
1101606,10193
1101603,10193
1101619,10193
1118526,10194
1118525,10194
1118511,10194
1118515,10194
1129812,10195
1128725,10196
1128720,10196
1128724,10196
1127212,10197
1127203,10197
1127209,10197
1127202,10197
1127201,10197
1127204,10197
1126515,10198
1137937,10199
1137936,10199
1137923,10199
1137922,10199
1137925,10199
1137926,10199
1137924,10199
1137026,10200
1137007,10200
1137023,10200
1136715,10200
1136941,10200
1137004,10200
1137003,10200
1136705,10200
1137008,10200
1137029,10200
1137017,10200
1137009,10200
1137022,10200
1137011,10200
1137002,10200
1137005,10200
1137028,10200
1137010,10200
1137027,10200
1137006,10200
1137001,10200
1136714,10200
1137025,10200
1137024,10200
1124919,10201
1137628,10202
1137602,10202
1137637,10202
1137645,10202
1137653,10202
1137654,10202
1137634,10202
1137655,10202
1137657,10202
1137624,10202
1137621,10202
1137633,10202
1137650,10202
1137651,10202
1137612,10202
1137640,10202
1137652,10202
1137626,10202
1137656,10202
1137613,10202
1137642,10202
1137641,10202
1137643,10202
1137648,10202
1137646,10202
1137635,10202
1137649,10202
1137630,10202
1137629,10202
1137614,10202
1137644,10202
1138102,10202
1137625,10202
1137627,10202
1137601,10202
1137638,10202
1137632,10202
1137639,10202
1137620,10202
1137636,10202
1137623,10202
1137647,10202
1137622,10202
1137727,10203
1137712,10203
1137708,10203
1137734,10203
1137726,10203
1137724,10203
1137723,10203
1137721,10203
1137725,10203
1137722,10203
1101307,10204
1110407,10205
1131303,10206
1131330,10206
1131302,10206
1131323,10206
1131319,10206
1131304,10206
1131301,10206
1131324,10206
1131322,10206
1131311,10206
1131320,10206
1131321,10206
1131312,10206
1127136,10207
1100210,10208
1125443,10209
1125428,10209
1125424,10210
1125435,10210
1125444,10210
1125426,10210
1125423,10210
1125422,10210
1125425,10210
1125702,10211
1125701,10211
1125725,10211
1142206,10212
1142209,10212
1142204,10212
1142207,10212
1142219,10212
1142210,10212
1142203,10212
1142205,10212
1142220,10212
1142218,10212
1142208,10212
1124302,10213
1106011,10214
1129901,10215
1129902,10215
1100419,10216
1100433,10216
1100209,10217
1119313,10218
1119318,10218
1119320,10218
1119301,10218
1119319,10218
1102618,10219
1119618,10220
1101510,10221
1123813,10222
1109910,10223
1109909,10223
1109923,10223
1125706,10224
1138731,10225
1138725,10225
1138721,10225
1138719,10225
1138718,10225
1138706,10225
1138703,10225
1138729,10225
1123116,10226
1123114,10226
1123117,10226
1123103,10226
1123104,10226
1136102,10227
1136144,10227
1136135,10227
1136145,10227
1136138,10227
1136136,10227
1136109,10227
1136146,10227
1136101,10227
1111727,10228
1120503,10229
1116809,10230
1116825,10230
1110912,10231
1122314,10231
1118708,10232
1106106,10233
1121938,10234
1121906,10234
1121901,10234
1121917,10234
1121926,10234
1121939,10234
1121904,10234
1121905,10234
1114207,10235
1114204,10235
1114312,10235
1114205,10235
1114213,10235
1114215,10235
1114206,10235
1114202,10235
1114212,10235
1114210,10235
1131347,10236
1131337,10236
1131331,10236
1131315,10236
1131341,10236
1131317,10236
