SA1_MAINCODE_2011,SA1_7DIGITCODE_2011,,,,,
10201103001,1103001,,,,,
10201103002,1103002,,,,,
10201103003,1103003,,,,,
10201103004,1103004,,,,,
10201103005,1103005,,,,,
10201103006,1103006,,,,,
10201103007,1103007,,,,,
10201103008,1103008,,,,,
10201103009,1103009,,,,,
10201103010,1103010,,,,,
10201103011,1103011,,,,,
10201103012,1103012,,,,,
10201103101,1103101,,,,,
10201103102,1103102,,,,,
10201103103,1103103,,,,,
10201103104,1103104,,,,,
10201103105,1103105,,,,,
10201103106,1103106,,,,,
10201103107,1103107,,,,,
10201103108,1103108,,,,,
10201103109,1103109,,,,,
10201103110,1103110,,,,,
10201103111,1103111,,,,,
10201103112,1103112,,,,,
10201103113,1103113,,,,,
10201103114,1103114,,,,,
10201103115,1103115,,,,,
10201103116,1103116,,,,,
10201103117,1103117,,,,,
10201103118,1103118,,,,,
10201103119,1103119,,,,,
10201103120,1103120,,,,,
10201103121,1103121,,,,,
10201103122,1103122,,,,,
10201103123,1103123,,,,,
10201103124,1103124,,,,,
10201103125,1103125,,,,,
10201103126,1103126,,,,,
10201103127,1103127,,,,,
10201103128,1103128,,,,,
10201103129,1103129,,,,,
10201103130,1103130,,,,,
10201103131,1103131,,,,,
10201103132,1103132,,,,,
10201103133,1103133,,,,,
10201103134,1103134,,,,,
10201103135,1103135,,,,,
10201103136,1103136,,,,,
10201103137,1103137,,,,,
10201103138,1103138,,,,,
10201103201,1103201,,,,,
10201103202,1103202,,,,,
10201103203,1103203,,,,,
10201103204,1103204,,,,,
10201103205,1103205,,,,,
10201103206,1103206,,,,,
10201103207,1103207,,,,,
10201103208,1103208,,,,,
10201103209,1103209,,,,,
10201103210,1103210,,,,,
10201103211,1103211,,,,,
10201103212,1103212,,,,,
10201103213,1103213,,,,,
10201103214,1103214,,,,,
10201103215,1103215,,,,,
10201103216,1103216,,,,,
10201103217,1103217,,,,,
10201103218,1103218,,,,,
10201103219,1103219,,,,,
10201103220,1103220,,,,,
10201103221,1103221,,,,,
10201103222,1103222,,,,,
10201103223,1103223,,,,,
10201103224,1103224,,,,,
10201103225,1103225,,,,,
10201103226,1103226,,,,,
10201103227,1103227,,,,,
10201103228,1103228,,,,,
10201103229,1103229,,,,,
10201103230,1103230,,,,,
10201103231,1103231,,,,,
10201103232,1103232,,,,,
10201103233,1103233,,,,,
10201103234,1103234,,,,,
10201103235,1103235,,,,,
10201103236,1103236,,,,,
10201103237,1103237,,,,,
10201103238,1103238,,,,,
10201103239,1103239,,,,,
10201103240,1103240,,,,,
10201103241,1103241,,,,,
10201103242,1103242,,,,,
10201103243,1103243,,,,,
10201103244,1103244,,,,,
10201103301,1103301,,,,,
10201103302,1103302,,,,,
10201103303,1103303,,,,,
10201103304,1103304,,,,,
10201103305,1103305,,,,,
10201103306,1103306,,,,,
10201103307,1103307,,,,,
10201103308,1103308,,,,,
10201103309,1103309,,,,,
10201103310,1103310,,,,,
10201103311,1103311,,,,,
10201103312,1103312,,,,,
10201103313,1103313,,,,,
10201103314,1103314,,,,,
10201103315,1103315,,,,,
10201103316,1103316,,,,,
10201103317,1103317,,,,,
10201103318,1103318,,,,,
10201103319,1103319,,,,,
10201103320,1103320,,,,,
10201103401,1103401,,,,,
10201103402,1103402,,,,,
10201103403,1103403,,,,,
10201103404,1103404,,,,,
10201103405,1103405,,,,,
10201103406,1103406,,,,,
10201103407,1103407,,,,,
10201103408,1103408,,,,,
10201103409,1103409,,,,,
10201103410,1103410,,,,,
10201103411,1103411,,,,,
10201103412,1103412,,,,,
10201103413,1103413,,,,,
10201103414,1103414,,,,,
10201103415,1103415,,,,,
10201103416,1103416,,,,,
10201103417,1103417,,,,,
10201103418,1103418,,,,,
10201103419,1103419,,,,,
10201103501,1103501,,,,,
10201103502,1103502,,,,,
10201103503,1103503,,,,,
10201103504,1103504,,,,,
10201103505,1103505,,,,,
10201103506,1103506,,,,,
10201103507,1103507,,,,,
10201103508,1103508,,,,,
10201103509,1103509,,,,,
10201103510,1103510,,,,,
10201103511,1103511,,,,,
10201103512,1103512,,,,,
10201103513,1103513,,,,,
10201103514,1103514,,,,,
10201103515,1103515,,,,,
10201103516,1103516,,,,,
10201103517,1103517,,,,,
10201103601,1103601,,,,,
10201103602,1103602,,,,,
10201103603,1103603,,,,,
10201103604,1103604,,,,,
10201103605,1103605,,,,,
10201103606,1103606,,,,,
10201103607,1103607,,,,,
10201103608,1103608,,,,,
10201103609,1103609,,,,,
10201103610,1103610,,,,,
10201103611,1103611,,,,,
10201103612,1103612,,,,,
10201103613,1103613,,,,,
10201103614,1103614,,,,,
10201103615,1103615,,,,,
10201103616,1103616,,,,,
10201103617,1103617,,,,,
10201103618,1103618,,,,,
10201103619,1103619,,,,,
10201103620,1103620,,,,,
10201103621,1103621,,,,,
10201103622,1103622,,,,,
10201103701,1103701,,,,,
10201103702,1103702,,,,,
10201103703,1103703,,,,,
10201103704,1103704,,,,,
10201103705,1103705,,,,,
10201103706,1103706,,,,,
10201103707,1103707,,,,,
10201103708,1103708,,,,,
10201103709,1103709,,,,,
10201103710,1103710,,,,,
10201103711,1103711,,,,,
10201103712,1103712,,,,,
10201103713,1103713,,,,,
10201103714,1103714,,,,,
10201103801,1103801,,,,,
